"day","incidence"
1,1
2,0
3,0
4,1
5,0
6,0
7,2
8,0
9,2
10,2
11,1
12,1
13,1
14,0
15,0
16,0
17,4
18,1
19,2
20,4
21,13
22,23
23,35
24,26
25,12
26,17
27,19
28,17
29,28
30,23
31,27
32,27
33,11
34,21
35,21
36,25
37,31
38,103
39,96
40,69
41,58
42,48
43,33
44,25
45,43
46,37
47,30
48,29
49,28
50,34
51,34
52,32
53,24
54,17
55,16
56,23
57,18
58,15
59,11
60,19
61,16
62,9
63,17
64,14
65,6
66,4
67,8
68,9
69,11
70,11
71,11
72,6
73,13
74,3
75,8
76,2
77,4
78,4
79,6
80,4
81,5
82,4
83,8
84,2
85,3
86,2
87,5
88,3
89,3
90,4
91,3
92,1
93,2
94,0
95,1
96,3
97,3
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,2
107,0
